point_id,latitude,longitude,altitude_m,distance_from_start_m,slope_deg,bearing_deg,segment_length_m,data_source
21,-26.793684,27.794027,1487.18,4199.8,0.0619,302.54,200.0,hardcoded-waypoints+spline-elevation
22,-26.792716,27.792328,1487.39,4399.8,0.0612,302.54,200.0,hardcoded-waypoints+spline-elevation
23,-26.791749,27.790629,1487.6,4599.8,0.0605,302.54,200.0,hardcoded-waypoints+spline-elevation
24,-26.790781,27.788931,1487.81,4799.8,0.0598,302.54,200.0,hardcoded-waypoints+spline-elevation
25,-26.789814,27.787232,1488.02,4999.8,0.0591,302.54,200.0,hardcoded-waypoints+spline-elevation
26,-26.788846,27.785533,1488.22,5199.9,0.0585,302.54,200.0,hardcoded-waypoints+spline-elevation
27,-26.787879,27.783834,1488.42,5399.9,0.0579,302.54,200.0,hardcoded-waypoints+spline-elevation
28,-26.786911,27.782136,1488.62,5599.9,0.0573,302.54,200.0,hardcoded-waypoints+spline-elevation
29,-26.785944,27.780437,1488.82,5799.9,0.0568,302.54,200.0,hardcoded-waypoints+spline-elevation
30,-26.784977,27.778738,1489.02,5999.9,0.0562,302.54,200.0,hardcoded-waypoints+spline-elevation
31,-26.784009,27.77704,1489.21,6199.9,0.0557,302.54,200.0,hardcoded-waypoints+spline-elevation
32,-26.783042,27.775341,1489.4,6399.9,0.0552,302.54,200.0,hardcoded-waypoints+spline-elevation
33,-26.782074,27.773642,1489.6,6600.0,0.0547,302.54,200.0,hardcoded-waypoints+spline-elevation
34,-26.781107,27.771943,1489.79,6800.0,0.0543,302.54,200.0,hardcoded-waypoints+spline-elevation
35,-26.780139,27.770245,1489.97,7000.0,0.0539,302.54,200.0,hardcoded-waypoints+spline-elevation
36,-26.779323,27.768452,1490.16,7199.8,0.0535,297.03,199.8,hardcoded-waypoints+spline-elevation
37,-26.778531,27.766643,1490.34,7399.8,0.0531,296.11,200.0,hardcoded-waypoints+spline-elevation
38,-26.77774,27.764834,1490.53,7599.8,0.0527,296.11,200.0,hardcoded-waypoints+spline-elevation
39,-26.776948,27.763025,1490.71,7799.8,0.0524,296.11,200.0,hardcoded-waypoints+spline-elevation
40,-26.776157,27.761216,1490.89,7999.7,0.052,296.11,200.0,hardcoded-waypoints+spline-elevation
41,-26.775365,27.759407,1491.07,8199.7,0.0517,296.11,200.0,hardcoded-waypoints+spline-elevation
42,-26.774574,27.757598,1491.25,8399.7,0.0515,296.11,200.0,hardcoded-waypoints+spline-elevation
43,-26.773783,27.755789,1491.43,8599.7,0.0512,296.11,200.0,hardcoded-waypoints+spline-elevation
44,-26.772991,27.75398,1491.61,8799.7,0.051,296.11,200.0,hardcoded-waypoints+spline-elevation
45,-26.7722,27.752171,1491.79,8999.7,0.0508,296.11,200.0,hardcoded-waypoints+spline-elevation
46,-26.771408,27.750362,1491.96,9199.6,0.0506,296.11,200.0,hardcoded-waypoints+spline-elevation
47,-26.770617,27.748553,1492.14,9399.6,0.0504,296.11,200.0,hardcoded-waypoints+spline-elevation
48,-26.769826,27.746744,1492.32,9599.6,0.0503,296.11,200.0,hardcoded-waypoints+spline-elevation
49,-26.769034,27.744935,1492.49,9799.6,0.0502,296.11,200.0,hardcoded-waypoints+spline-elevation
50,-26.768243,27.743126,1492.67,9999.6,0.0501,296.11,200.0,hardcoded-waypoints+spline-elevation
51,-26.767451,27.741317,1492.84,10199.6,0.05,296.1,200.0,hardcoded-waypoints+spline-elevation
52,-26.76666,27.739508,1493.01,10399.6,0.0499,296.1,200.0,hardcoded-waypoints+spline-elevation
53,-26.765869,27.737699,1493.19,10599.6,0.0499,296.1,200.0,hardcoded-waypoints+spline-elevation
54,-26.765077,27.735891,1493.36,10799.6,0.0499,296.1,200.0,hardcoded-waypoints+spline-elevation
55,-26.764286,27.734082,1493.54,10999.6,0.0499,296.1,200.0,hardcoded-waypoints+spline-elevation
56,-26.763494,27.732273,1493.71,11199.6,0.0499,296.1,200.0,hardcoded-waypoints+spline-elevation
57,-26.762703,27.730464,1493.89,11399.6,0.05,296.1,200.0,hardcoded-waypoints+spline-elevation
58,-26.761911,27.728655,1494.06,11599.6,0.0501,296.1,200.0,hardcoded-waypoints+spline-elevation
59,-26.76112,27.726846,1494.23,11799.6,0.0502,296.1,200.0,hardcoded-waypoints+spline-elevation
60,-26.760329,27.725037,1494.41,11999.6,0.0503,296.1,200.0,hardcoded-waypoints+spline-elevation
61,-26.759537,27.723228,1494.59,12199.6,0.0504,296.1,200.0,hardcoded-waypoints+spline-elevation
62,-26.758746,27.721419,1494.76,12399.6,0.0506,296.1,200.0,hardcoded-waypoints+spline-elevation
63,-26.757954,27.71961,1494.94,12599.6,0.0508,296.1,200.0,hardcoded-waypoints+spline-elevation
64,-26.757163,27.717801,1495.12,12799.6,0.051,296.1,200.0,hardcoded-waypoints+spline-elevation
65,-26.756372,27.715992,1495.3,12999.6,0.0512,296.1,200.0,hardcoded-waypoints+spline-elevation
66,-26.75558,27.714183,1495.48,13199.6,0.0515,296.1,200.0,hardcoded-waypoints+spline-elevation
67,-26.754789,27.712374,1495.66,13399.6,0.0517,296.1,200.0,hardcoded-waypoints+spline-elevation
68,-26.753997,27.710565,1495.84,13599.6,0.052,296.1,200.0,hardcoded-waypoints+spline-elevation
69,-26.753206,27.708756,1496.02,13799.6,0.0523,296.1,200.0,hardcoded-waypoints+spline-elevation
70,-26.752414,27.706947,1496.21,13999.7,0.0527,296.1,200.0,hardcoded-waypoints+spline-elevation
71,-26.751623,27.705138,1496.39,14199.7,0.053,296.1,200.0,hardcoded-waypoints+spline-elevation
72,-26.750832,27.703329,1496.58,14399.7,0.0534,296.1,200.0,hardcoded-waypoints+spline-elevation
73,-26.75004,27.701521,1496.76,14599.7,0.0538,296.1,200.0,hardcoded-waypoints+spline-elevation
74,-26.749249,27.699712,1496.95,14799.7,0.0543,296.1,200.0,hardcoded-waypoints+spline-elevation
75,-26.748457,27.697903,1497.15,14999.7,0.0547,296.1,200.0,hardcoded-waypoints+spline-elevation
76,-26.747666,27.696094,1497.34,15199.8,0.0552,296.1,200.0,hardcoded-waypoints+spline-elevation
77,-26.746875,27.694285,1497.53,15399.8,0.0557,296.1,200.0,hardcoded-waypoints+spline-elevation
78,-26.746083,27.692476,1497.73,15599.8,0.0562,296.1,200.0,hardcoded-waypoints+spline-elevation
79,-26.745292,27.690667,1497.93,15799.8,0.0567,296.1,200.0,hardcoded-waypoints+spline-elevation
80,-26.744445,27.688891,1498.13,15999.8,0.0573,298.08,199.9,hardcoded-waypoints+spline-elevation
81,-26.743567,27.687133,1498.33,16199.7,0.0578,299.24,200.0,hardcoded-waypoints+spline-elevation
82,-26.742688,27.685376,1498.53,16399.7,0.0584,299.24,200.0,hardcoded-waypoints+spline-elevation
83,-26.74181,27.683619,1498.74,16599.7,0.0589,299.24,200.0,hardcoded-waypoints+spline-elevation
84,-26.740931,27.681862,1498.95,16799.6,0.0595,299.24,200.0,hardcoded-waypoints+spline-elevation
85,-26.740052,27.680105,1499.15,16999.6,0.06,299.24,200.0,hardcoded-waypoints+spline-elevation
86,-26.739174,27.678348,1499.37,17199.6,0.0605,299.24,200.0,hardcoded-waypoints+spline-elevation
87,-26.738295,27.676591,1499.58,17399.6,0.061,299.24,200.0,hardcoded-waypoints+spline-elevation
88,-26.737417,27.674834,1499.79,17599.6,0.0615,299.24,200.0,hardcoded-waypoints+spline-elevation
89,-26.736538,27.673076,1500.01,17799.5,0.062,299.24,200.0,hardcoded-waypoints+spline-elevation
90,-26.73566,27.671319,1500.23,17999.5,0.0624,299.24,200.0,hardcoded-waypoints+spline-elevation
91,-26.734781,27.669562,1500.45,18199.5,0.0629,299.24,200.0,hardcoded-waypoints+spline-elevation
92,-26.733902,27.667805,1500.67,18399.5,0.0633,299.24,200.0,hardcoded-waypoints+spline-elevation
93,-26.733024,27.666048,1500.89,18599.5,0.0637,299.24,200.0,hardcoded-waypoints+spline-elevation
94,-26.732145,27.664291,1501.11,18799.5,0.0642,299.24,200.0,hardcoded-waypoints+spline-elevation
95,-26.731267,27.662534,1501.34,18999.4,0.0646,299.24,200.0,hardcoded-waypoints+spline-elevation
96,-26.730388,27.660776,1501.57,19199.4,0.065,299.24,200.0,hardcoded-waypoints+spline-elevation
97,-26.72951,27.659019,1501.79,19399.4,0.0654,299.24,200.0,hardcoded-waypoints+spline-elevation
98,-26.728631,27.657262,1502.02,19599.4,0.0658,299.24,200.0,hardcoded-waypoints+spline-elevation
99,-26.727752,27.655505,1502.25,19799.4,0.0661,299.24,200.0,hardcoded-waypoints+spline-elevation
100,-26.726874,27.653748,1502.49,19999.4,0.0665,299.24,200.0,hardcoded-waypoints+spline-elevation
101,-26.725995,27.651991,1502.72,20199.4,0.0668,299.24,200.0,hardcoded-waypoints+spline-elevation
102,-26.725117,27.650234,1502.95,20399.4,0.0672,299.24,200.0,hardcoded-waypoints+spline-elevation
103,-26.724238,27.648476,1503.19,20599.4,0.0675,299.24,200.0,hardcoded-waypoints+spline-elevation
104,-26.72336,27.646719,1503.43,20799.4,0.0678,299.24,200.0,hardcoded-waypoints+spline-elevation
105,-26.722481,27.644962,1503.67,20999.4,0.0681,299.24,200.0,hardcoded-waypoints+spline-elevation
106,-26.721602,27.643205,1503.9,21199.4,0.0684,299.24,200.0,hardcoded-waypoints+spline-elevation
107,-26.720724,27.641448,1504.14,21399.4,0.0687,299.24,200.0,hardcoded-waypoints+spline-elevation
108,-26.719845,27.639691,1504.38,21599.4,0.069,299.24,200.0,hardcoded-waypoints+spline-elevation
109,-26.718967,27.637934,1504.63,21799.4,0.0693,299.24,200.0,hardcoded-waypoints+spline-elevation
110,-26.718088,27.636176,1504.87,21999.4,0.0695,299.24,200.0,hardcoded-waypoints+spline-elevation
111,-26.71721,27.634419,1505.11,22199.4,0.0697,299.24,200.0,hardcoded-waypoints+spline-elevation
112,-26.716331,27.632662,1505.36,22399.4,0.07,299.24,200.0,hardcoded-waypoints+spline-elevation
113,-26.715453,27.630905,1505.6,22599.4,0.0702,299.24,200.0,hardcoded-waypoints+spline-elevation
114,-26.714574,27.629148,1505.85,22799.4,0.0704,299.24,200.0,hardcoded-waypoints+spline-elevation
115,-26.713695,27.627391,1506.09,22999.4,0.0706,299.24,200.0,hardcoded-waypoints+spline-elevation
116,-26.712817,27.625634,1506.34,23199.5,0.0708,299.24,200.0,hardcoded-waypoints+spline-elevation
117,-26.711938,27.623876,1506.59,23399.5,0.071,299.24,200.0,hardcoded-waypoints+spline-elevation
118,-26.71106,27.622119,1506.84,23599.5,0.0712,299.24,200.0,hardcoded-waypoints+spline-elevation
119,-26.710181,27.620362,1507.09,23799.5,0.0713,299.24,200.0,hardcoded-waypoints+spline-elevation
120,-26.709303,27.618605,1507.34,23999.5,0.0715,299.24,200.0,hardcoded-waypoints+spline-elevation
121,-26.708424,27.616848,1507.59,24199.5,0.0716,299.24,200.0,hardcoded-waypoints+spline-elevation
122,-26.707545,27.615091,1507.84,24399.6,0.0717,299.24,200.0,hardcoded-waypoints+spline-elevation
123,-26.706667,27.613334,1508.09,24599.6,0.0718,299.24,200.0,hardcoded-waypoints+spline-elevation
124,-26.705788,27.611576,1508.34,24799.6,0.0719,299.24,200.0,hardcoded-waypoints+spline-elevation
125,-26.70491,27.609819,1508.59,24999.6,0.072,299.24,200.0,hardcoded-waypoints+spline-elevation
126,-26.704031,27.608062,1508.84,25199.6,0.0721,299.24,200.0,hardcoded-waypoints+spline-elevation
127,-26.703153,27.606305,1509.09,25399.7,0.0722,299.24,200.0,hardcoded-waypoints+spline-elevation
128,-26.702274,27.604548,1509.35,25599.7,0.0723,299.23,200.0,hardcoded-waypoints+spline-elevation
129,-26.701395,27.602791,1509.6,25799.7,0.0723,299.23,200.0,hardcoded-waypoints+spline-elevation
130,-26.700517,27.601034,1509.85,25999.8,0.0724,299.23,200.0,hardcoded-waypoints+spline-elevation
131,-26.699638,27.599277,1510.1,26199.8,0.0724,299.23,200.0,hardcoded-waypoints+spline-elevation
132,-26.69876,27.59752,1510.36,26399.7,0.0724,299.23,200.0,hardcoded-waypoints+spline-elevation
133,-26.697882,27.595764,1510.61,26599.7,0.0725,299.23,200.0,hardcoded-waypoints+spline-elevation
134,-26.697003,27.594007,1510.86,26799.7,0.0725,299.23,200.0,hardcoded-waypoints+spline-elevation
135,-26.696125,27.59225,1511.12,26999.6,0.0725,299.23,200.0,hardcoded-waypoints+spline-elevation
136,-26.695247,27.590494,1511.37,27199.6,0.0726,299.23,200.0,hardcoded-waypoints+spline-elevation
137,-26.694369,27.588737,1511.62,27399.6,0.0726,299.23,200.0,hardcoded-waypoints+spline-elevation
138,-26.69349,27.586981,1511.88,27599.6,0.0727,299.23,200.0,hardcoded-waypoints+spline-elevation
139,-26.692612,27.585224,1512.13,27799.5,0.0727,299.23,200.0,hardcoded-waypoints+spline-elevation
140,-26.691734,27.583467,1512.38,27999.5,0.0728,299.23,200.0,hardcoded-waypoints+spline-elevation
141,-26.690855,27.581711,1512.64,28199.5,0.0729,299.23,200.0,hardcoded-waypoints+spline-elevation
142,-26.689977,27.579954,1512.89,28399.5,0.0729,299.23,200.0,hardcoded-waypoints+spline-elevation
143,-26.689099,27.578198,1513.15,28599.5,0.073,299.23,200.0,hardcoded-waypoints+spline-elevation
144,-26.688221,27.576441,1513.4,28799.4,0.0731,299.23,200.0,hardcoded-waypoints+spline-elevation
145,-26.687342,27.574685,1513.66,28999.4,0.0732,299.23,200.0,hardcoded-waypoints+spline-elevation
146,-26.686464,27.572928,1513.91,29199.4,0.0733,299.23,200.0,hardcoded-waypoints+spline-elevation
147,-26.685586,27.571171,1514.17,29399.4,0.0734,299.23,200.0,hardcoded-waypoints+spline-elevation
148,-26.684707,27.569415,1514.43,29599.4,0.0735,299.23,200.0,hardcoded-waypoints+spline-elevation
149,-26.683829,27.567658,1514.68,29799.4,0.0736,299.23,200.0,hardcoded-waypoints+spline-elevation
150,-26.682951,27.565902,1514.94,29999.3,0.0737,299.23,200.0,hardcoded-waypoints+spline-elevation
151,-26.682073,27.564145,1515.2,30199.3,0.0738,299.23,200.0,hardcoded-waypoints+spline-elevation
152,-26.681194,27.562388,1515.46,30399.3,0.0739,299.23,200.0,hardcoded-waypoints+spline-elevation
153,-26.680316,27.560632,1515.71,30599.3,0.074,299.23,200.0,hardcoded-waypoints+spline-elevation
154,-26.679438,27.558875,1515.97,30799.3,0.0741,299.23,200.0,hardcoded-waypoints+spline-elevation
155,-26.678559,27.557119,1516.23,30999.3,0.0743,299.23,200.0,hardcoded-waypoints+spline-elevation
156,-26.677681,27.555362,1516.49,31199.3,0.0744,299.23,200.0,hardcoded-waypoints+spline-elevation
157,-26.676803,27.553606,1516.75,31399.3,0.0745,299.23,200.0,hardcoded-waypoints+spline-elevation
158,-26.675924,27.551849,1517.01,31599.3,0.0747,299.23,200.0,hardcoded-waypoints+spline-elevation
159,-26.675046,27.550092,1517.27,31799.3,0.0748,299.23,200.0,hardcoded-waypoints+spline-elevation
160,-26.674168,27.548336,1517.53,31999.3,0.075,299.23,200.0,hardcoded-waypoints+spline-elevation
161,-26.67329,27.546579,1517.8,32199.3,0.0751,299.23,200.0,hardcoded-waypoints+spline-elevation
162,-26.672411,27.544823,1518.06,32399.3,0.0753,299.23,200.0,hardcoded-waypoints+spline-elevation
163,-26.671533,27.543066,1518.32,32599.3,0.0754,299.23,200.0,hardcoded-waypoints+spline-elevation
164,-26.670655,27.541309,1518.59,32799.3,0.0756,299.23,200.0,hardcoded-waypoints+spline-elevation
165,-26.669776,27.539553,1518.85,32999.3,0.0758,299.23,200.0,hardcoded-waypoints+spline-elevation
166,-26.668898,27.537796,1519.12,33199.3,0.076,299.23,200.0,hardcoded-waypoints+spline-elevation
167,-26.66802,27.53604,1519.38,33399.3,0.0761,299.23,200.0,hardcoded-waypoints+spline-elevation
168,-26.667142,27.534283,1519.65,33599.3,0.0763,299.23,200.0,hardcoded-waypoints+spline-elevation
169,-26.666263,27.532527,1519.92,33799.4,0.0765,299.23,200.0,hardcoded-waypoints+spline-elevation
170,-26.665385,27.53077,1520.18,33999.4,0.0767,299.23,200.0,hardcoded-waypoints+spline-elevation
171,-26.664507,27.529013,1520.45,34199.4,0.0769,299.23,200.0,hardcoded-waypoints+spline-elevation
172,-26.663628,27.527257,1520.72,34399.4,0.0771,299.23,200.0,hardcoded-waypoints+spline-elevation
173,-26.66275,27.5255,1520.99,34599.4,0.0773,299.23,200.0,hardcoded-waypoints+spline-elevation
174,-26.661872,27.523744,1521.26,34799.4,0.0775,299.23,200.0,hardcoded-waypoints+spline-elevation
175,-26.660994,27.521987,1521.53,34999.4,0.0777,299.23,200.0,hardcoded-waypoints+spline-elevation
176,-26.660115,27.52023,1521.81,35199.5,0.078,299.23,200.0,hardcoded-waypoints+spline-elevation
177,-26.659237,27.518474,1522.08,35399.5,0.0782,299.23,200.0,hardcoded-waypoints+spline-elevation
178,-26.658359,27.516717,1522.35,35599.5,0.0784,299.23,200.0,hardcoded-waypoints+spline-elevation
179,-26.65748,27.514961,1522.63,35799.5,0.0786,299.23,200.0,hardcoded-waypoints+spline-elevation
180,-26.656602,27.513204,1522.9,35999.6,0.0789,299.23,200.0,hardcoded-waypoints+spline-elevation
181,-26.655724,27.511448,1523.18,36199.6,0.0791,299.22,200.0,hardcoded-waypoints+spline-elevation
182,-26.654845,27.509691,1523.45,36399.6,0.0794,299.22,200.0,hardcoded-waypoints+spline-elevation
183,-26.653967,27.507934,1523.73,36599.6,0.0796,299.22,200.0,hardcoded-waypoints+spline-elevation
184,-26.653089,27.506178,1524.01,36799.7,0.0799,299.22,200.0,hardcoded-waypoints+spline-elevation
185,-26.652211,27.504421,1524.29,36999.7,0.0801,299.22,200.0,hardcoded-waypoints+spline-elevation
186,-26.651332,27.502665,1524.57,37199.7,0.0804,299.22,200.0,hardcoded-waypoints+spline-elevation
187,-26.650454,27.500908,1524.85,37399.8,0.0807,299.22,200.0,hardcoded-waypoints+spline-elevation
188,-26.649525,27.499186,1525.14,37599.6,0.0809,301.11,199.9,hardcoded-waypoints+spline-elevation
189,-26.648542,27.497501,1525.42,37799.6,0.0812,303.13,200.0,hardcoded-waypoints+spline-elevation
190,-26.64756,27.495816,1525.7,37999.6,0.0815,303.13,200.0,hardcoded-waypoints+spline-elevation
191,-26.646577,27.494131,1525.99,38199.5,0.0817,303.13,200.0,hardcoded-waypoints+spline-elevation
192,-26.645594,27.492447,1526.27,38399.5,0.0819,303.13,200.0,hardcoded-waypoints+spline-elevation
193,-26.644611,27.490762,1526.56,38599.4,0.0822,303.13,200.0,hardcoded-waypoints+spline-elevation
194,-26.643628,27.489077,1526.85,38799.4,0.0824,303.13,200.0,hardcoded-waypoints+spline-elevation
195,-26.642645,27.487392,1527.14,38999.4,0.0826,303.13,200.0,hardcoded-waypoints+spline-elevation
196,-26.641662,27.485707,1527.43,39199.3,0.0827,303.13,200.0,hardcoded-waypoints+spline-elevation
197,-26.64068,27.484022,1527.72,39399.3,0.0829,303.13,200.0,hardcoded-waypoints+spline-elevation
198,-26.639697,27.482337,1528.01,39599.3,0.0831,303.13,200.0,hardcoded-waypoints+spline-elevation
199,-26.638714,27.480652,1528.3,39799.2,0.0832,303.13,200.0,hardcoded-waypoints+spline-elevation
200,-26.637731,27.478967,1528.59,39999.2,0.0834,303.13,200.0,hardcoded-waypoints+spline-elevation
201,-26.636748,27.477283,1528.88,40199.2,0.0835,303.13,200.0,hardcoded-waypoints+spline-elevation
202,-26.635765,27.475598,1529.17,40399.2,0.0836,303.13,200.0,hardcoded-waypoints+spline-elevation
203,-26.634782,27.473913,1529.46,40599.1,0.0837,303.13,200.0,hardcoded-waypoints+spline-elevation
204,-26.6338,27.472228,1529.75,40799.1,0.0838,303.13,200.0,hardcoded-waypoints+spline-elevation
205,-26.632817,27.470543,1530.05,40999.1,0.0838,303.13,200.0,hardcoded-waypoints+spline-elevation
206,-26.631834,27.468858,1530.34,41199.1,0.0839,303.13,200.0,hardcoded-waypoints+spline-elevation
207,-26.630851,27.467173,1530.63,41399.1,0.084,303.13,200.0,hardcoded-waypoints+spline-elevation
208,-26.629868,27.465488,1530.93,41599.0,0.084,303.13,200.0,hardcoded-waypoints+spline-elevation
209,-26.628885,27.463803,1531.22,41799.0,0.084,303.13,200.0,hardcoded-waypoints+spline-elevation
210,-26.627902,27.462118,1531.51,41999.0,0.084,303.13,200.0,hardcoded-waypoints+spline-elevation
211,-26.62692,27.460434,1531.81,42199.0,0.084,303.13,200.0,hardcoded-waypoints+spline-elevation
212,-26.625937,27.458749,1532.1,42399.0,0.084,303.13,200.0,hardcoded-waypoints+spline-elevation
213,-26.624954,27.457064,1532.39,42599.0,0.084,303.13,200.0,hardcoded-waypoints+spline-elevation
214,-26.623971,27.455379,1532.69,42798.9,0.084,303.13,200.0,hardcoded-waypoints+spline-elevation
215,-26.622988,27.453694,1532.98,42998.9,0.0839,303.12,200.0,hardcoded-waypoints+spline-elevation
216,-26.622005,27.452009,1533.27,43198.9,0.0839,303.12,200.0,hardcoded-waypoints+spline-elevation
217,-26.621022,27.450324,1533.56,43398.9,0.0838,303.12,200.0,hardcoded-waypoints+spline-elevation
218,-26.62004,27.448639,1533.86,43598.9,0.0837,303.12,200.0,hardcoded-waypoints+spline-elevation
219,-26.619057,27.446954,1534.15,43798.9,0.0836,303.12,200.0,hardcoded-waypoints+spline-elevation
220,-26.618074,27.44527,1534.44,43998.9,0.0835,303.12,200.0,hardcoded-waypoints+spline-elevation
221,-26.617091,27.443585,1534.73,44198.9,0.0834,303.12,200.0,hardcoded-waypoints+spline-elevation
222,-26.616108,27.4419,1535.02,44398.9,0.0833,303.12,200.0,hardcoded-waypoints+spline-elevation
223,-26.615125,27.440215,1535.31,44598.9,0.0831,303.12,200.0,hardcoded-waypoints+spline-elevation
224,-26.614142,27.43853,1535.6,44798.9,0.083,303.12,200.0,hardcoded-waypoints+spline-elevation
225,-26.61316,27.436845,1535.89,44998.9,0.0828,303.12,200.0,hardcoded-waypoints+spline-elevation
226,-26.612177,27.43516,1536.18,45198.9,0.0826,303.12,200.0,hardcoded-waypoints+spline-elevation
227,-26.611194,27.433475,1536.47,45398.9,0.0824,303.12,200.0,hardcoded-waypoints+spline-elevation
228,-26.610211,27.43179,1536.75,45598.9,0.0822,303.12,200.0,hardcoded-waypoints+spline-elevation
229,-26.609228,27.430105,1537.04,45798.9,0.082,303.12,200.0,hardcoded-waypoints+spline-elevation
230,-26.608245,27.428421,1537.32,45998.9,0.0818,303.12,200.0,hardcoded-waypoints+spline-elevation
231,-26.607262,27.426736,1537.61,46198.9,0.0815,303.12,200.0,hardcoded-waypoints+spline-elevation
232,-26.60628,27.425051,1537.89,46398.9,0.0813,303.12,200.0,hardcoded-waypoints+spline-elevation
233,-26.605297,27.423366,1538.17,46599.0,0.081,303.12,200.0,hardcoded-waypoints+spline-elevation
234,-26.604314,27.421681,1538.46,46799.0,0.0807,303.12,200.0,hardcoded-waypoints+spline-elevation
235,-26.603331,27.419996,1538.74,46999.0,0.0804,303.12,200.0,hardcoded-waypoints+spline-elevation
236,-26.602348,27.418311,1539.02,47199.0,0.0801,303.12,200.0,hardcoded-waypoints+spline-elevation
237,-26.601365,27.416626,1539.3,47399.0,0.0798,303.12,200.0,hardcoded-waypoints+spline-elevation
238,-26.600382,27.414941,1539.57,47599.0,0.0795,303.12,200.0,hardcoded-waypoints+spline-elevation
239,-26.5994,27.413257,1539.85,47799.0,0.0792,303.12,200.0,hardcoded-waypoints+spline-elevation
240,-26.598417,27.411572,1540.12,47999.1,0.0788,303.12,200.0,hardcoded-waypoints+spline-elevation
241,-26.597434,27.409887,1540.4,48199.1,0.0784,303.12,200.0,hardcoded-waypoints+spline-elevation
242,-26.596451,27.408202,1540.67,48399.1,0.0781,303.12,200.0,hardcoded-waypoints+spline-elevation
243,-26.595468,27.406517,1540.94,48599.1,0.0777,303.12,200.0,hardcoded-waypoints+spline-elevation
244,-26.594485,27.404832,1541.21,48799.2,0.0773,303.12,200.0,hardcoded-waypoints+spline-elevation
245,-26.593503,27.403147,1541.48,48999.2,0.0769,303.12,200.0,hardcoded-waypoints+spline-elevation
246,-26.59252,27.401462,1541.75,49199.2,0.0764,303.12,200.0,hardcoded-waypoints+spline-elevation
247,-26.591537,27.399777,1542.01,49399.2,0.076,303.12,200.0,hardcoded-waypoints+spline-elevation
248,-26.590554,27.398092,1542.28,49599.3,0.0756,303.12,200.0,hardcoded-waypoints+spline-elevation
249,-26.589571,27.396408,1542.54,49799.3,0.0751,303.12,200.0,hardcoded-waypoints+spline-elevation
250,-26.588588,27.394723,1542.8,49999.3,0.0746,303.12,200.0,hardcoded-waypoints+spline-elevation
251,-26.587605,27.393038,1543.06,50199.4,0.0741,303.12,200.0,hardcoded-waypoints+spline-elevation
252,-26.586623,27.391353,1543.32,50399.4,0.0737,303.12,200.0,hardcoded-waypoints+spline-elevation
253,-26.58564,27.389668,1543.57,50599.4,0.0731,303.12,200.0,hardcoded-waypoints+spline-elevation
254,-26.584657,27.387983,1543.82,50799.5,0.0726,303.12,200.0,hardcoded-waypoints+spline-elevation
255,-26.583674,27.386298,1544.08,50999.5,0.0721,303.12,200.0,hardcoded-waypoints+spline-elevation
256,-26.582691,27.384613,1544.33,51199.5,0.0715,303.12,200.0,hardcoded-waypoints+spline-elevation
257,-26.581708,27.382928,1544.57,51399.6,0.071,303.12,200.0,hardcoded-waypoints+spline-elevation
